state,year,within_score,surrounding_score
Vermont,2012,-0.5,2.3454606301717353
Vermont,2013,-0.5,2.4711192718328516
Vermont,2014,-0.5,2.493772856366149
Vermont,2015,-0.5,2.501370540281659
Vermont,2016,-0.5,2.4229338329645267
Vermont,2017,-0.5,2.4393891385431514
Vermont,2018,-0.5,2.625613253816508
Vermont,2019,-0.5,2.6408619537309463
Washington,2010,1.5,1.7613957982653639
Washington,2011,1.5,1.7693319737149293
Washington,2012,1.5,1.93440635105901
Washington,2013,1.5,1.863341547659179
Washington,2014,1.5,1.8887800450230874
Washington,2015,1.5,1.9018557388690824
Washington,2016,1.5,1.8912301012279122
Washington,2017,1.5,1.8860881558978244
Washington,2018,2,1.9853519879389558
Washington,2019,2,1.9887294814728302
Wisconsin,2010,3.8055555555555554,3.2173050758650636
Wisconsin,2011,3.8055555555555554,3.239648557235186
Wisconsin,2012,3.8055555555555554,3.7164766463514094
Wisconsin,2013,3.8055555555555554,3.5640595635092494
Wisconsin,2014,3.8055555555555554,3.6987843872148063
Wisconsin,2015,3.8055555555555554,3.725967945509485
Wisconsin,2016,3.5555555555555554,3.7315803511143555
Wisconsin,2017,3.5555555555555554,3.7854756162861865
Wisconsin,2018,4.722222222222222,4.125386364469069
Wisconsin,2019,4.722222222222222,4.134461874216866
West Virginia,2010,0.9444444444444444,3.6924013238302575
West Virginia,2011,0.9444444444444444,3.7090381086362356
West Virginia,2012,0.9444444444444444,4.348280416463988
West Virginia,2013,0.44444444444444436,4.323901487316894
West Virginia,2014,0.44444444444444436,4.377808271669741
West Virginia,2015,0.44444444444444436,4.398771339531641
West Virginia,2016,2.444444444444444,4.422096293207857
West Virginia,2017,2.444444444444444,4.492776606089179
West Virginia,2018,2.444444444444444,4.728430332483729
West Virginia,2019,3.194444444444444,4.732081644954959
Wyoming,2010,2.9722222222222223,3.0913561955388276
Wyoming,2011,2.9722222222222223,3.113863668642174
Wyoming,2012,2.9722222222222223,3.392671169566293
Wyoming,2013,2.9722222222222223,3.392115960180482
Wyoming,2014,2.9722222222222223,3.4823681682114622
Wyoming,2015,2.9722222222222223,3.511787767902051
Wyoming,2016,2.9722222222222223,3.2816529767986427
Wyoming,2017,2.9722222222222223,3.254213499636413
Wyoming,2018,2.9722222222222223,3.4520137261044184
Wyoming,2019,2.9722222222222223,3.4553159331628436
